MSW93_Order	MSW93_Family	MSW93_Genus	MSW93_Species	MSW93_Binomial	1-1_ActivityCycle	5-1_AdultBodyMass_g	8-1_AdultForearmLen_mm	13-1_AdultHeadBodyLen_mm	2-1_AgeatEyeOpening_d	3-1_AgeatFirstBirth_d	18-1_BasalMetRate_mLO2hr	5-2_BasalMetRateMass_g	6-1_DietBreadth	7-1_DispersalAge_d	9-1_GestationLen_d	12-1_HabitatBreadth	22-1_HomeRange_km2	22-2_HomeRange_Indiv_km2	14-1_InterBirthInterval_d	15-1_LitterSize	16-1_LittersPerYear	17-1_MaxLongevity_m	5-3_NeonateBodyMass_g	13-2_NeonateHeadBodyLen_mm	21-1_PopulationDensity_n/km2	10-1_PopulationGrpSize	23-1_SexualMaturityAge_d	10-2_SocialGrpSize	24-1_TeatNumber	12-2_Terrestriality	6-2_TrophicLevel	25-1_WeaningAge_d	5-4_WeaningBodyMass_g	13-3_WeaningHeadBodyLen_mm	References	5-5_AdultBodyMass_g_EXT	16-2_LittersPerYear_EXT	5-6_NeonateBodyMass_g_EXT	5-7_WeaningBodyMass_g_EXT	26-1_GR_Area_km2	26-2_GR_MaxLat_dd	26-3_GR_MinLat_dd	26-4_GR_MRLat_dd	26-5_GR_MaxLong_dd	26-6_GR_MinLong_dd	26-7_GR_MRLong_dd	27-1_HuPopDen_Min_n/km2	27-2_HuPopDen_Mean_n/km2	27-3_HuPopDen_5p_n/km2	27-4_HuPopDen_Change	28-1_Precip_Mean_mm	28-2_Temp_Mean_01degC	30-1_AET_Mean_mm	30-2_PET_Mean_mm
Primates	Cebidae	Aotus	azarai	Aotus azarai	1	963	-999	-999	-999	-999	-999	-999	2	-999	-999	1	-999	-999	365	1	-999	-999	-999	-999	16.2	-999	-999	4.1	-999	2	2	228.19	-999	-999	139;730;1544;1547;2151;2344;2511;2655	-999	1.11	-999	-999	663508	-9.91	-24.19	-17.05	-57.59	-68.65	-63.12	0	1.25	0	0.14	101.09	246.21	1186.23	1410.79
Primates	Cebidae	Aotus	brumbacki	Aotus brumbacki	1	603	-999	-999	-999	-999	-999	-999	2	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	2	-999	-999	-999	1544;2151;2655	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
Primates	Cebidae	Aotus	hershkovitzi	Aotus hershkovitzi	1	800	-999	-999	-999	-999	-999	-999	2	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	2	-999	-999	-999	2151;2655	-999	-999	-999	-999	5812	4.02	2.96	3.49	-73.65	-74.49	-74.07	3	87.3	3	0.17	129.17	209.51	1484.84	1491.67
Primates	Cebidae	Aotus	infulatus	Aotus infulatus	1	800	-999	-999	-999	-999	-999	-999	2	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	2	-999	-999	-999	2151;2655	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
Primates	Cebidae	Aotus	lemurinus	Aotus lemurinus	1	881	-999	305	-999	-999	-999	-999	4	-999	132.27	1	-999	-999	365	1	-999	216	97.8	-999	35.9	-999	657.98	-999	-999	2	2	74.09	-999	-999	139;730;1015;1544;1547;2151;2655;2986	-999	1.11	-999	-999	321846	11.11	1.32	6.21	-70.97	-82.54	-76.76	2	63.64	4	0.09	190.02	242.21	1489.89	1653.86
Primates	Cebidae	Aotus	miconax	Aotus miconax	1	800	-999	-999	-999	-999	-999	-999	2	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	2	-999	-999	-999	2151;2655	-999	-999	-999	-999	70307	-3.98	-7.93	-5.96	-75.39	-78.64	-77.01	2	7.02	2	0.2	141.98	240.78	1334.38	1443.94
Primates	Cebidae	Aotus	nancymaae	Aotus nancymaae	1	795	-999	-999	-999	-999	-999	-999	2	-999	-999	1	-999	-999	-999	1.02	-999	-999	-999	-999	28.6	-999	-999	4	-999	2	2	-999	-999	-999	139;730;1544;1547;2151;2655;2986	-999	-999	-999	-999	157986	-2.72	-6.47	-4.59	-66.61	-75.95	-71.28	0	1.13	0	0.05	228.04	261.24	1531.25	1533.13
Primates	Cebidae	Aotus	nigriceps	Aotus nigriceps	1	1060	-999	358	-999	-999	-999	-999	2	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	38	-999	-999	3.3	-999	2	2	-999	-999	-999	139;730;1544;1547;1848;2151;2251;2655	-999	-999	-999	-999	1674556	-2.03	-13.42	-7.72	-55.09	-76.5	-65.79	0	2.28	0	0.17	180.71	252.16	1432.2	1570.48
Primates	Cebidae	Aotus	trivirgatus	Aotus trivirgatus	1	912	-999	358	-999	883.3	459.45	972.5	3	-999	133.51	1	0.02	0.03	271	1	-999	303.6	96.5	-999	24.5	-999	638.74	3.15	-999	2	2	83	256	-999	139;208;543;730;1297;1547;1577;1611;1763;1767;1768;1822;1848;2151;2344;2464;2489;2493;2511;2520;2655;2660;2986;3088	-999	1.3	-999	-999	590942	9.06	-0.76	4.15	-60.35	-70.9	-65.62	0	1.85	0	0.2	178.6	247.71	1488.11	1676.33
Primates	Cebidae	Aotus	vociferans	Aotus vociferans	1	873	-999	-999	-999	-999	-999	-999	2	-999	-999	1	-999	-999	-999	1.02	-999	-999	-999	-999	23.7	-999	-999	3.3	-999	2	1	-999	-999	-999	139;730;890;1544;1547;2151;2655	-999	-999	-999	-999	1226115	7.09	-4.95	1.06	-60.6	-78.2	-69.4	0	6.3	0	0.1	217.44	252.97	1476.39	1511.64
Primates	Loridae	Arctocebus	aureus	Arctocebus aureus	-999	235	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1547;1848;2655	-999	-999	-999	-999	878240	5.23	-6.05	-0.41	18.65	8.69	13.67	0	13.57	1	0.08	150.36	244.58	1305.13	1502.14
Primates	Loridae	Arctocebus	calabarensis	Arctocebus calabarensis	1	258	-999	240	-999	417.92	87.55	208	3	-999	133.74	-999	-999	-999	144.47	1	-999	156	31.9	-999	6.29	-999	260.45	1	-999	-999	2	108.55	160	-999	208;223;543;730;732;1297;1544;1547;1822;1848;2151;2344;2493;2511;2655;2986	-999	1.79	-999	-999	185094	7.45	3.58	5.52	13.39	6.02	9.71	6	145.31	7	0.11	184.44	247.75	1217.99	1530.26
Primates	Cebidae	Ateles	belzebuth	Ateles belzebuth	3	6720	-999	460	-999	-999	-999	-999	2	-999	138.24	1	2.31	2.26	-999	1.02	-999	336	-999	-999	13.5	-999	-999	14.5	-999	2	1	-999	-999	-999	208;543;730;890;1297;1544;1547;1848;2151;2308;2344;2463;2655;2660;2912;2986	-999	-999	-999	-999	1175008	11.35	-4.98	3.18	-60.12	-78.54	-69.33	0	11.12	0	0.11	209.53	257.35	1470.06	1539.77
Primates	Cebidae	Ateles	chamek	Ateles chamek	3	7130	-999	454.97	-999	-999	-999	-999	2	-999	-999	1	1.19	-999	-999	-999	-999	-999	-999	-999	3.39	-999	-999	-999	-999	2	1	-999	-999	-999	1544;1547;1848;2145;2151;2251;2655;2912	-999	-999	-999	-999	990902	-2.58	-11.43	-7.01	-62.25	-77.21	-69.73	0	1.62	0	0.1	194.51	254.97	1504.72	1569.06
Primates	Cebidae	Ateles	fusciceps	Ateles fusciceps	3	9070	-999	489.89	-999	1773.9	-999	-999	2	-999	224.77	1	-999	-999	851.66	1.01	-999	288	500	-999	-999	-999	1574.06	-999	-999	2	1	479.56	-999	-999	208;543;1297;1544;1547;1848;2151;2344;2489;2493;2655;2660;2986	-999	0.72	-999	-999	201580	11.11	1.77	6.44	-73.92	-79.12	-76.52	3	85.93	4	0.11	220.34	240.81	1483.74	1654.37
Primates	Cebidae	Ateles	geoffroyi	Ateles geoffroyi	3	7610	-999	433.73	-999	2080.5	-999	-999	2	-999	226.52	1	0.74	0.75	1048.15	1	-999	327.6	425	-999	19.2	-999	1824.99	42	-999	2	1	811.04	3490	-999	208;730;1297;1544;1547;1763;1767;1848;2145;2151;2344;2463;2488;2489;2493;2655;2660;2912;2986	-999	0.65	-999	-999	806609	24.09	0.67	12.38	-70.23	-98.85	-84.54	2	55.14	4	0.14	153.93	243.16	1344.08	1624.94
Primates	Cebidae	Ateles	marginatus	Ateles marginatus	3	6240	-999	460.97	-999	-999	-999	-999	2	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	1	-999	-999	-999	1544;1848;2151;2655	-999	-999	-999	-999	831855	-0.54	-8.84	-4.69	-47.7	-64.33	-56.01	0	4.83	0	0.11	169.03	252.71	1421.4	1592.48
Primates	Cebidae	Ateles	paniscus	Ateles paniscus	3	8710	-999	576.84	-999	1825	-999	-999	6	-999	228.25	1	1.39	1.53	1072.18	1	-999	453.6	479	-999	8	-999	1824.99	20	-999	2	2	800.18	2750	-999	208;543;730;890;1201;1297;1544;1547;1763;1767;1768;1848;2151;2344;2463;2488;2489;2493;2655;2660;2912;2986;3086	-999	0.64	-999	-999	892635	7.28	-3.14	2.06	-50.44	-61.85	-56.14	0	3.25	0	0.08	157.69	255.77	1456.6	1696.86
Primates	Indridae	Avahi	laniger	Avahi laniger	2	1020	-999	274.99	-999	941.7	-999	-999	3	-999	136.19	2	0.01	0.01	365	1.01	1	-999	-999	90	72	-999	-999	2.25	2	2	1	148.18	-999	-999	208;511;730;1046;1048;1261;1262;1297;1544;1547;1848;2151;2344;2488;2493;2655;2972;2973;2986	-999	-999	33.6	-999	95148	-13.77	-25.17	-19.47	50.45	44.63	47.54	2	34.34	4	0.18	165.9	206.05	1272.88	1597.82
Primates	Cebidae	Brachyteles	arachnoides	Brachyteles arachnoides	3	10600	-999	578.88	-999	2737.5	-999	-999	5	-999	221.82	1	1.06	1.48	1028.69	1.01	-999	-999	-999	-999	5.5	-999	2494.16	19.6	-999	2	2	730.04	-999	-999	208;730;890;899;905;1132;1297;1544;1547;1767;1848;2140;2145;2151;2344;2463;2488;2493;2655;2660;2986;3086	-999	0.65	-999	-999	12361	-20.13	-23.11	-21.62	-43.9	-49.07	-46.48	21	57.46	21	0.07	128.43	203.94	1180.39	1333.44
Primates	Cebidae	Cacajao	calvus	Cacajao calvus	3	3420	-999	541.55	-999	1306.7	-999	-999	4	-999	180	1	-999	-999	775.62	1.02	-999	324	-999	-999	15.1	-999	1095	23.7	-999	2	2	337.08	-999	-999	208;543;890;996;1015;1297;1544;1547;1848;2151;2251;2344;2655;2660;2986	-999	0.76	-999	-999	103819	-1.84	-9.62	-5.73	-65.4	-74.59	-69.99	0	2.02	0	0.08	211.86	255.26	1515.98	1535.61
Primates	Cebidae	Cacajao	melanocephalus	Cacajao melanocephalus	3	3140	-999	400	-999	-999	-999	-999	3	-999	-999	1	-999	-999	-999	-999	-999	216	-999	-999	-999	-999	-999	30	-999	2	2	-999	-999	-999	543;890;996;1544;1547;1848;2151;2344;2655	-999	-999	-999	-999	465905	4.03	-2.95	0.53	-61.26	-72.43	-66.84	0	0.14	0	-0.02	231.02	250.53	1580.97	1597.06
Primates	Cebidae	Callicebus	brunneus	Callicebus brunneus	3	852	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	0.04	0.04	-999	1.02	-999	-999	-999	-999	-999	-999	-999	2.5	-999	2	-999	-999	-999	-999	1544;1547;1605;1633;2145;2151;2344;2655;2986	-999	-999	-999	-999	137589	-7.82	-12.33	-10.07	-61.45	-65.09	-63.27	0	5.95	1	0.44	173.37	244.48	1299.02	1578.08
Primates	Cebidae	Callicebus	caligatus	Callicebus caligatus	3	992	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	1.02	-999	-999	-999	-999	-999	-999	-999	1	-999	2	-999	-999	-999	-999	1605;1633;2151;2655	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
Primates	Cebidae	Callicebus	cinerascens	Callicebus cinerascens	3	992	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	1.02	-999	-999	-999	-999	-999	-999	-999	1	-999	2	-999	-999	-999	-999	1605;1633;2151;2655	-999	-999	-999	-999	113468	-4.32	-12.46	-8.39	-58.37	-60.42	-59.39	0	0.52	0	0.34	180.52	248.44	1301.24	1525.97
Primates	Cebidae	Callicebus	cupreus	Callicebus cupreus	3	1120	-999	355	-999	-999	-999	-999	-999	-999	129.29	1	-999	-999	395.41	1.01	-999	-999	73.9	-999	4.9	-999	-999	2.05	-999	2	-999	200.53	-999	-999	1544;1547;1605;1633;1848;2151;2251;2344;2655;2986	-999	1.07	-999	-999	713990	4.38	-10.67	-3.14	-61.59	-74.92	-68.25	0	6.17	0	0.06	192.78	253.08	1527.33	1569.92
Primates	Cebidae	Callicebus	donacophilus	Callicebus donacophilus	3	899	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	1.02	-999	-999	-999	-999	-999	-999	-999	1	-999	2	-999	-999	-999	-999	1547;1605;1633;2151;2655	-999	-999	-999	-999	288759	-10.45	-21.29	-15.87	-57.52	-67.21	-62.37	0	3.63	0	0.17	108.93	244.32	1238.19	1469.11
Primates	Cebidae	Callicebus	dubius	Callicebus dubius	3	992	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	1.02	-999	-999	-999	-999	-999	-999	-999	1	-999	2	-999	-999	-999	-999	1605;1633;2151;2655	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
Primates	Cebidae	Callicebus	hoffmannsi	Callicebus hoffmannsi	3	1070	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	1.02	-999	-999	-999	-999	-999	-999	-999	1	-999	2	-999	-999	-999	-999	1547;1605;1633;2151;2655	-999	-999	-999	-999	107710	-1.95	-6	-3.97	-54.87	-59.21	-57.04	0	2.82	0	0.11	156.53	258.61	1419.94	1614.48
Primates	Cebidae	Callicebus	modestus	Callicebus modestus	3	992	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	1.02	-999	-999	-999	-999	-999	-999	-999	1	-999	2	-999	-999	-999	-999	1605;1633;2151;2655	-999	-999	-999	-999	17288	-14.25	-15.67	-14.96	-65.93	-67.39	-66.66	1	2.76	1	0.47	119.01	225.42	1432.14	1548.82
Primates	Cebidae	Callicebus	moloch	Callicebus moloch	3	965	-999	358.65	-999	1095	-999	-999	3	-999	163.99	1	0.02	0.02	365	1.02	-999	303.6	74.4	125	18.4	-999	1095	2.95	-999	2	2	58.47	-999	-999	208;543;730;890;1297;1512;1547;1605;1768;1848;2151;2344;2464;2489;2493;2520;2655;2660;2986	-999	1.11	-999	-999	911443	-1.3	-14.1	-7.7	-48.19	-58.29	-53.24	0	2.4	0	0.13	174.03	246.08	1330.45	1530.29
Primates	Cebidae	Callicebus	oenanthe	Callicebus oenanthe	3	992	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	1.02	-999	-999	-999	-999	-999	-999	-999	1	-999	2	-999	-999	-999	-999	1605;1633;2151;2655	-999	-999	-999	-999	5807	-5.16	-5.98	-5.57	-76.96	-77.67	-77.31	2	8.33	2	0.06	139.67	220.5	1287.01	1394.99
Primates	Cebidae	Callicebus	olallae	Callicebus olallae	3	992	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	1.02	-999	-999	-999	-999	-999	-999	-999	1	-999	2	-999	-999	-999	-999	1605;1633;2151;2655	-999	-999	-999	-999	17288	-14.25	-15.67	-14.96	-65.93	-67.39	-66.66	1	2.76	1	0.47	119.01	225.42	1432.14	1548.82
Primates	Cebidae	Callicebus	personatus	Callicebus personatus	3	1390	-999	362.49	-999	-999	-999	-999	4	-999	-999	1	0.03	0.03	-999	1.01	-999	-999	-999	-999	13	-999	-999	2.35	-999	2	1	-999	-999	-999	890;899;1544;1547;1605;1848;2145;2151;2344;2464;2655;2660;2986	-999	-999	-999	-999	913675	-8.57	-24.44	-16.51	-37.52	-51.33	-44.43	3	101.35	5	0.06	114.08	215.15	1152.11	1397.6
Primates	Cebidae	Callicebus	torquatus	Callicebus torquatus	3	1220	-999	294.99	-999	-999	-999	-999	4	-999	-999	1	0.11	0.09	-999	1.02	-999	-999	-999	-999	10.2	-999	1460	3.85	-999	2	2	121.66	-999	-999	208;730;890;1297;1544;1547;1605;1848;2151;2251;2344;2464;2520;2655;2660;2986	-999	-999	-999	-999	1877388	8.18	-8.72	-0.26	-58.76	-76.71	-67.74	0	1.73	0	0.12	202.15	255.5	1523.12	1587.14
Primates	Callitrichidae	Callimico	goeldii	Callimico goeldii	3	558	-999	280	-999	491.83	-999	-999	2	-999	154	1	0.32	0.31	182.5	1	-999	214.8	50.5	-999	2.09	-999	350.17	6.85	-999	2	2	66.1	120	-999	543;890;905;1125;1297;1320;1544;1547;1611;1767;1848;2151;2251;2344;2489;2493;2655;2660	-999	1.59	-999	-999	462922	0.97	-11.64	-5.33	-67.04	-77.15	-72.1	0	3	0	0.11	209.19	259.78	1476.2	1518.11
Primates	Callitrichidae	Callithrix	argentata	Callithrix argentata	3	369	-999	-999	-999	609.55	-999	-999	4	-999	-999	1	0.17	-999	219.6	2	-999	201.6	35.9	-999	9.5	-999	608.33	9.5	-999	2	2	-999	-999	-999	543;730;890;905;1297;1544;1547;1768;2151;2344;2493;2655;2725;2986	-999	1.44	-999	-999	902343	-1.09	-19.88	-10.49	-49.38	-65.04	-57.21	0	3.31	0	0.19	150.89	247.11	1249.67	1485.78
Primates	Callitrichidae	Callithrix	aurita	Callithrix aurita	3	388	-999	240	-999	-999	-999	-999	3	-999	139.99	1	0.08	-999	-999	2	-999	-999	-999	-999	-999	-999	-999	6	-999	2	2	-999	-999	-999	899;1544;1547;2151;2344;2655;2725	-999	-999	-999	-999	87653	-21.66	-24.65	-23.15	-40.97	-49.07	-45.02	14	398.77	24	0.06	148.06	188.19	1243.75	1379.49
Primates	Callitrichidae	Callithrix	flaviceps	Callithrix flaviceps	3	375	-999	240	-999	-999	-999	-999	3	-999	139.99	1	0.22	-999	-999	2	-999	-999	-999	-999	11.9	-999	-999	9.8	-999	2	2	-999	-999	-999	899;1544;1547;2151;2344;2655;2725	-999	-999	-999	-999	27331	-20.39	-21.92	-21.16	-40.81	-43.12	-41.96	36	56.38	37.5	0.05	111.78	200.81	1193.67	1398.92
Primates	Callitrichidae	Callithrix	geoffroyi	Callithrix geoffroyi	3	342	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	-999	-999	-999	-999	1547;2151;2344;2655;2725;2986	-999	-999	-999	-999	132745	-16.9	-21.07	-18.99	-39.13	-43.62	-41.38	11	47.67	14	0.06	108.43	216.05	1237.94	1455.44
Primates	Callitrichidae	Callithrix	humeralifera	Callithrix humeralifera	3	375	-999	-999	-999	-999	-999	-999	4	-999	-999	1	0.1	0.09	-999	-999	-999	180	34.5	-999	28.5	-999	-999	8.5	-999	2	2	101.68	-999	-999	543;730;890;905;1125;1297;1544;1547;2151;2344;2520;2655;2660;2725;2986	-999	-999	-999	-999	133529	-2.27	-8.45	-5.36	-55.4	-60.52	-57.96	0	1.65	0	0.12	163.98	258.61	1433.88	1605.48
Primates	Callitrichidae	Callithrix	jacchus	Callithrix jacchus	3	291	-999	-999	-999	555.1	152	190	5	-999	143.99	1	0.02	-999	159.8	2.14	-999	201.6	27.7	-999	512	-999	408.53	8.55	-999	2	2	60.04	96.8	-999	208;543;579;730;890;905;1297;1299;1544;1547;1577;1594;1611;1822;2151;2344;2489;2493;2511;2520;2552;2655;2660;2725;2986	-999	1.7	-999	-999	604264	-2.78	-10.38	-6.58	-34.79	-45.78	-40.28	1	61.47	2	0.06	99.39	249.92	912.68	1488.61
Primates	Callitrichidae	Callithrix	kuhlii	Callithrix kuhlii	3	375	-999	-999	-999	-999	-999	-999	4	-999	-999	1	0.06	-999	-999	-999	-999	-999	-999	-999	59	-999	-999	-999	-999	2	2	-999	-999	-999	890;1547;2151;2344;2655;2725	-999	-999	-999	-999	34584	-14.4	-16.84	-15.62	-38.85	-40.32	-39.59	7	32.31	9.5	0.08	149.75	229.94	1475.45	1613.32
Primates	Callitrichidae	Callithrix	penicillata	Callithrix penicillata	3	340	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	0.01	-999	-999	2	-999	-999	-999	-999	-999	-999	-999	5.9	-999	2	-999	-999	-999	-999	1544;1547;2151;2344;2520;2655;2725;2986	-999	-999	-999	-999	1325473	-2.32	-23.03	-12.68	-40.15	-52.33	-46.24	1	23.65	1	0.07	117.22	219.92	1084.95	1442.42
Primates	Callitrichidae	Callithrix	pygmaea	Callithrix pygmaea	3	125	-999	155.05	0	840.41	113.99	116.9	3	-999	134.53	1	2.14E-03	2.48E-03	182.5	2	-999	181.2	14.5	-999	15.9	-999	623.54	6	-999	2	2	90.14	70	-999	208;543;730;890;905;1125;1297;1544;1547;1611;1822;1848;2151;2251;2344;2489;2493;2511;2520;2655;2660;2668;2864;2986	-999	1.59	-999	-999	1508926	0.59	-12.52	-5.96	-61.36	-78.52	-69.94	0	2.19	0	0.1	208.53	256.47	1483.18	1526.07
